Temperature,pH,N,P,K,Crop,Soil,Fertilizer
20,6.5,53,17,20,Maize,Clayey,DAP
21,6.2,33,42,33,Cotton,Sandy,Urea
23,5.9,90,4,10,Cotton,Sandy,Urea
35,5.5,18,4,76,Wheat,Clayey,Urea
32,6.5,6,18,47,Wheat,Loam,DAP
30,7.2,2,69,2,Cotton,Loam,DAP
19,6.2,26,14,96,Maize,Loam,Complex NPK
24,5.9,25,10,88,Rice,Clayey,DAP
25,5.7,13,50,53,Pulses,Loam,Complex NPK
39,5.7,63,93,69,Wheat,Sandy,SSP
16,5.9,91,83,19,Cotton,Loam,DAP
16,5.7,62,34,0,Pulses,Sandy,Complex NPK
22,6.0,57,3,17,Rice,Loam,Urea
24,5.6,37,8,87,Rice,Sandy,SSP
18,5.6,45,90,84,Wheat,Loam,DAP
21,7.2,21,82,58,Wheat,Loam,Potash
38,5.8,69,68,36,Maize,Sandy,SSP
26,6.6,49,7,12,Rice,Loam,SSP
29,7.0,25,93,44,Cotton,Loam,Complex NPK
33,6.4,12,35,79,Rice,Loam,DAP
15,5.8,52,79,37,Rice,Clayey,Complex NPK
29,5.9,70,46,24,Maize,Clayey,SSP
18,6.4,47,45,45,Rice,Loam,Urea
36,6.6,73,67,52,Cotton,Loam,DAP
27,6.2,10,58,84,Maize,Clayey,DAP
25,7.1,72,3,60,Rice,Sandy,DAP
35,7.0,90,70,7,Wheat,Loam,Urea
26,7.4,16,66,23,Pulses,Loam,SSP
19,5.6,95,24,20,Rice,Sandy,Potash
21,7.3,94,55,69,Cotton,Sandy,SSP
19,6.3,38,59,7,Cotton,Sandy,Urea
30,7.3,48,35,36,Wheat,Loam,Complex NPK
35,6.9,60,3,9,Rice,Sandy,Complex NPK
18,7.5,6,71,69,Rice,Sandy,Potash
27,7.0,70,27,25,Rice,Clayey,Complex NPK
19,6.2,1,66,33,Cotton,Sandy,Urea
35,6.5,63,71,84,Maize,Loam,Potash
23,6.3,65,10,64,Maize,Loam,Urea
29,6.2,21,63,33,Wheat,Clayey,DAP
30,6.0,46,5,83,Cotton,Loam,Complex NPK
35,6.5,0,40,73,Pulses,Loam,DAP
18,6.9,86,86,2,Wheat,Clayey,SSP
38,6.1,36,52,16,Maize,Sandy,DAP
30,6.5,26,43,87,Pulses,Sandy,Complex NPK
28,5.7,20,65,61,Wheat,Loam,SSP
36,5.8,84,6,58,Wheat,Clayey,Complex NPK
36,5.6,34,28,25,Cotton,Sandy,Complex NPK
31,7.4,61,5,42,Rice,Loam,Complex NPK
32,5.5,30,74,80,Maize,Sandy,Urea
20,5.9,27,7,17,Maize,Loam,Complex NPK
24,6.7,73,29,40,Rice,Sandy,SSP
18,5.7,72,82,60,Pulses,Sandy,SSP
15,7.3,52,47,81,Pulses,Loam,Potash
20,6.9,84,60,41,Pulses,Sandy,Complex NPK
15,7.4,23,63,38,Rice,Loam,Urea
32,6.5,62,66,76,Cotton,Clayey,Complex NPK
33,6.1,48,41,70,Cotton,Sandy,SSP
19,6.6,59,29,24,Wheat,Clayey,DAP
17,7.4,43,96,33,Maize,Loam,Complex NPK
31,6.5,42,49,78,Rice,Sandy,Urea
18,6.0,13,60,69,Cotton,Sandy,SSP
17,7.3,9,52,9,Maize,Sandy,Complex NPK
25,6.2,27,25,37,Pulses,Clayey,Potash
28,5.5,90,36,11,Rice,Sandy,DAP
31,6.0,34,19,25,Maize,Sandy,SSP
22,6.1,70,96,16,Cotton,Loam,Potash
36,7.2,41,91,83,Pulses,Sandy,SSP
24,6.4,37,26,61,Wheat,Sandy,DAP
15,6.4,6,56,23,Wheat,Clayey,Potash
25,6.2,58,56,50,Wheat,Clayey,Potash
33,7.3,85,28,9,Cotton,Sandy,DAP
26,7.4,3,45,42,Rice,Clayey,DAP
38,7.5,75,87,41,Maize,Sandy,DAP
17,6.3,11,82,26,Cotton,Sandy,SSP
17,7.4,29,5,42,Maize,Sandy,SSP
18,7.1,78,65,62,Cotton,Sandy,Urea
18,6.9,83,85,11,Pulses,Sandy,Potash
33,6.0,26,34,71,Cotton,Clayey,Potash
29,5.9,80,1,91,Wheat,Loam,Complex NPK
18,5.8,35,93,32,Rice,Sandy,Potash
35,7.3,52,98,30,Maize,Sandy,Urea
32,6.1,17,14,86,Pulses,Sandy,Urea
33,6.4,80,30,29,Wheat,Sandy,DAP
29,6.5,10,9,32,Pulses,Clayey,Potash
24,7.1,60,54,66,Maize,Sandy,Urea
16,7.2,73,27,22,Cotton,Loam,DAP
19,5.8,99,7,47,Rice,Loam,Urea
25,6.4,25,76,40,Wheat,Sandy,Potash
37,7.2,26,93,24,Rice,Sandy,Potash
26,7.1,51,36,14,Maize,Sandy,DAP
23,5.7,79,38,2,Pulses,Loam,Potash
26,5.8,27,92,67,Rice,Clayey,DAP
17,6.1,4,85,33,Pulses,Clayey,Potash
34,5.7,85,87,42,Rice,Clayey,Complex NPK
31,6.3,53,37,36,Maize,Loam,DAP
15,5.7,23,20,0,Pulses,Loam,Complex NPK
37,6.6,22,13,24,Rice,Clayey,Potash
15,6.0,92,40,50,Rice,Sandy,SSP
21,6.7,43,50,38,Maize,Sandy,Potash
34,5.7,6,54,55,Pulses,Clayey,SSP
29,7.5,13,65,12,Rice,Clayey,Potash
25,7.4,77,72,15,Wheat,Loam,DAP
34,6.3,17,58,26,Maize,Loam,Urea
39,6.0,40,73,23,Rice,Loam,DAP
23,6.0,94,49,56,Maize,Clayey,SSP
28,6.5,68,17,93,Cotton,Clayey,Potash
39,5.6,18,49,16,Rice,Sandy,Potash
17,6.8,2,89,82,Wheat,Loam,Potash
18,6.3,27,87,45,Cotton,Sandy,Urea
17,6.3,8,57,33,Maize,Sandy,Urea
26,7.1,79,74,3,Pulses,Sandy,DAP
28,6.9,51,90,58,Pulses,Loam,DAP
31,7.4,87,13,71,Maize,Clayey,SSP
23,6.2,47,31,57,Pulses,Loam,Urea
23,7.3,63,21,20,Pulses,Loam,Complex NPK
34,7.0,30,97,88,Wheat,Loam,DAP
23,6.2,13,1,66,Cotton,Sandy,Complex NPK
17,6.7,92,96,60,Rice,Sandy,DAP
39,6.1,46,43,10,Cotton,Sandy,Complex NPK
35,7.2,14,55,51,Maize,Clayey,Complex NPK
18,5.7,46,70,98,Wheat,Clayey,DAP
27,5.9,45,34,88,Maize,Clayey,Urea
29,5.9,97,94,0,Cotton,Clayey,DAP
15,6.3,4,46,70,Wheat,Loam,Urea
19,7.0,10,90,13,Wheat,Sandy,Potash
18,6.6,63,17,25,Cotton,Sandy,Potash
28,6.5,18,12,91,Rice,Loam,Potash
26,5.5,72,52,47,Cotton,Loam,Potash
37,6.4,58,47,69,Wheat,Sandy,SSP
28,5.6,73,39,23,Wheat,Sandy,SSP
28,5.9,13,48,51,Rice,Clayey,DAP
26,7.4,12,55,54,Rice,Clayey,Complex NPK
39,5.9,29,25,24,Maize,Loam,SSP
31,7.2,78,64,77,Maize,Sandy,SSP
39,7.1,77,60,21,Wheat,Sandy,Complex NPK
36,5.8,9,30,13,Maize,Clayey,SSP
29,6.7,46,92,66,Rice,Clayey,Complex NPK
31,5.7,60,87,41,Maize,Sandy,SSP
37,7.0,76,79,1,Maize,Loam,Potash
36,6.8,29,38,58,Wheat,Clayey,Complex NPK
34,7.1,75,86,52,Cotton,Sandy,Potash
16,6.5,24,48,0,Cotton,Loam,DAP
23,7.3,59,7,57,Pulses,Sandy,Complex NPK
15,5.6,72,37,14,Pulses,Sandy,Complex NPK
19,6.1,15,66,7,Wheat,Sandy,Urea
21,6.9,54,77,48,Wheat,Loam,SSP
36,6.3,32,20,73,Cotton,Loam,Complex NPK
28,5.8,80,46,49,Wheat,Sandy,Urea
22,5.7,11,93,4,Rice,Sandy,Urea
39,7.1,15,32,16,Wheat,Loam,Urea
39,6.4,25,52,16,Maize,Sandy,Potash
30,7.3,21,55,63,Wheat,Sandy,Urea
24,7.0,22,19,16,Cotton,Loam,Complex NPK
33,6.3,81,56,67,Rice,Clayey,DAP
23,6.2,92,22,54,Pulses,Loam,SSP
37,6.5,91,86,2,Rice,Clayey,Potash
30,7.3,72,60,32,Rice,Clayey,Urea
26,7.0,91,34,57,Maize,Loam,Urea
21,5.5,92,61,70,Rice,Clayey,Potash
30,6.9,99,54,85,Wheat,Sandy,Potash
16,7.3,30,38,28,Cotton,Loam,Complex NPK
37,6.9,41,85,22,Rice,Clayey,Complex NPK
27,5.9,9,92,27,Rice,Clayey,DAP
39,6.5,52,48,49,Wheat,Loam,Complex NPK
39,5.8,43,34,4,Rice,Loam,Complex NPK
18,6.2,81,61,4,Pulses,Sandy,Potash
33,7.4,50,65,95,Rice,Clayey,Potash
30,7.3,16,54,66,Rice,Loam,SSP
18,6.1,64,17,89,Rice,Clayey,Potash
25,6.2,26,52,94,Pulses,Clayey,Potash
27,6.7,7,34,75,Pulses,Clayey,Complex NPK
21,7.4,54,43,74,Pulses,Loam,Complex NPK
18,5.8,82,13,66,Pulses,Sandy,Potash
37,6.0,58,17,75,Rice,Clayey,Potash
20,7.2,75,31,76,Wheat,Loam,SSP
38,6.5,57,21,84,Cotton,Clayey,Urea
26,7.3,58,98,9,Cotton,Sandy,Potash
15,5.9,76,1,35,Rice,Clayey,DAP
26,6.6,13,69,51,Maize,Sandy,SSP
23,6.2,72,47,6,Cotton,Loam,Urea
35,6.1,18,38,31,Pulses,Loam,Complex NPK
25,6.4,17,63,27,Maize,Loam,Potash
37,6.4,42,31,10,Wheat,Clayey,DAP
26,6.2,44,92,48,Maize,Sandy,Complex NPK
20,7.3,98,68,72,Wheat,Clayey,Potash
30,7.0,75,37,89,Maize,Sandy,Urea
23,7.0,87,7,79,Cotton,Loam,Potash
17,6.1,70,67,26,Pulses,Clayey,Potash
34,6.7,78,54,69,Wheat,Loam,DAP
38,7.1,46,21,82,Wheat,Loam,SSP
36,7.1,54,21,64,Maize,Sandy,Complex NPK
34,6.2,50,57,36,Pulses,Sandy,Complex NPK
29,7.0,43,90,32,Rice,Sandy,Potash
35,7.0,65,66,37,Wheat,Clayey,DAP
36,5.8,78,92,82,Pulses,Loam,SSP
18,7.2,6,47,77,Rice,Clayey,Potash
18,6.4,47,32,83,Wheat,Sandy,Complex NPK
22,6.5,44,33,66,Pulses,Sandy,Potash
24,6.4,9,99,40,Wheat,Sandy,Urea
24,6.6,3,58,0,Cotton,Loam,SSP
24,6.7,9,32,38,Pulses,Loam,Potash
38,6.5,34,17,64,Maize,Sandy,DAP
18,7.2,94,9,9,Maize,Loam,Complex NPK
29,6.8,1,99,62,Rice,Loam,Urea
33,6.3,38,44,49,Cotton,Clayey,DAP
27,6.3,78,86,3,Rice,Clayey,Complex NPK
18,7.1,80,5,5,Maize,Sandy,Urea
24,6.2,94,86,81,Pulses,Sandy,Complex NPK
25,5.9,50,9,18,Cotton,Loam,SSP
28,5.6,13,65,45,Wheat,Clayey,Potash
22,7.3,86,61,75,Wheat,Clayey,Complex NPK
22,7.3,46,5,64,Pulses,Sandy,Urea
36,5.7,99,68,38,Maize,Clayey,SSP
16,6.2,87,7,41,Rice,Loam,Potash
27,5.9,37,54,17,Maize,Clayey,SSP
17,5.7,93,19,44,Pulses,Clayey,DAP
17,7.3,90,51,18,Maize,Sandy,DAP
39,5.6,82,38,63,Rice,Clayey,Potash
16,7.5,86,13,6,Rice,Sandy,DAP
20,5.7,6,11,79,Cotton,Sandy,Potash
23,7.2,74,87,54,Cotton,Clayey,DAP
19,6.6,43,54,60,Cotton,Sandy,DAP
15,6.2,1,53,39,Maize,Loam,DAP
26,6.2,73,75,0,Wheat,Sandy,Potash
17,7.0,90,40,37,Maize,Sandy,Complex NPK
20,6.1,48,95,36,Rice,Clayey,Complex NPK
36,6.8,79,3,7,Cotton,Clayey,DAP
31,6.5,17,61,45,Pulses,Sandy,Complex NPK
23,6.5,19,2,11,Wheat,Sandy,SSP
16,7.3,19,71,4,Maize,Sandy,DAP
32,6.6,65,2,70,Wheat,Loam,SSP
31,7.2,27,25,38,Pulses,Clayey,Complex NPK
18,7.0,35,46,40,Cotton,Loam,Potash
39,5.6,9,5,62,Cotton,Clayey,Urea
23,7.0,13,16,70,Rice,Clayey,Potash
35,5.9,53,8,80,Maize,Loam,Potash
19,7.3,70,81,34,Rice,Loam,Complex NPK
31,5.6,88,92,80,Wheat,Clayey,Potash
18,6.2,10,78,96,Pulses,Clayey,Complex NPK
22,5.7,43,56,28,Pulses,Loam,Urea
18,6.5,5,6,32,Rice,Loam,Complex NPK
33,7.1,40,77,49,Rice,Clayey,SSP
32,6.1,15,56,8,Wheat,Loam,Complex NPK
16,5.8,14,92,21,Cotton,Sandy,SSP
33,6.2,85,3,50,Pulses,Clayey,Potash
32,7.1,0,59,24,Rice,Loam,Potash
35,5.8,35,4,16,Pulses,Sandy,SSP
17,6.0,97,0,85,Cotton,Clayey,Potash
20,5.6,14,75,10,Pulses,Clayey,DAP
20,6.9,6,38,32,Cotton,Loam,Urea
27,6.3,88,6,8,Cotton,Sandy,Complex NPK
27,6.1,3,20,59,Maize,Loam,Urea
36,6.9,68,70,70,Wheat,Loam,Potash
17,6.2,95,16,90,Pulses,Sandy,Urea
30,7.0,27,64,91,Cotton,Loam,DAP
36,7.1,67,67,45,Pulses,Clayey,DAP
22,5.9,34,69,89,Rice,Sandy,Complex NPK
22,7.4,41,61,20,Wheat,Loam,Potash
26,5.8,13,39,84,Wheat,Loam,Potash
37,6.1,17,59,77,Rice,Loam,DAP
32,5.9,40,80,34,Rice,Clayey,SSP
21,6.2,74,89,4,Pulses,Clayey,Urea
22,6.5,38,94,48,Maize,Sandy,DAP
33,6.5,42,27,78,Pulses,Sandy,Urea
26,7.2,67,75,24,Pulses,Clayey,Complex NPK
34,7.3,27,64,65,Cotton,Sandy,DAP
32,5.9,60,33,43,Pulses,Clayey,Complex NPK
24,6.7,15,25,77,Wheat,Clayey,SSP
29,5.7,34,52,97,Maize,Loam,SSP
36,6.4,50,14,76,Rice,Sandy,Potash
24,6.1,44,48,16,Wheat,Loam,Complex NPK
33,6.1,84,34,57,Rice,Clayey,DAP
15,6.5,52,40,5,Cotton,Sandy,Urea
24,7.0,25,50,97,Pulses,Loam,Urea
26,5.6,75,62,95,Cotton,Clayey,Complex NPK
32,7.3,44,43,8,Rice,Clayey,DAP
24,7.0,81,38,33,Pulses,Loam,Potash
15,5.9,5,19,54,Pulses,Loam,SSP
37,7.4,83,42,64,Cotton,Loam,SSP
31,6.5,71,98,32,Rice,Sandy,Potash
25,7.5,68,21,95,Maize,Sandy,DAP
19,5.9,95,20,2,Cotton,Loam,Urea
39,6.6,93,90,27,Wheat,Loam,Urea
35,6.1,91,35,80,Wheat,Clayey,Urea
18,6.1,32,27,87,Wheat,Sandy,DAP
34,6.7,41,3,66,Rice,Loam,DAP
23,7.3,82,89,71,Wheat,Sandy,Complex NPK
39,7.1,29,7,45,Wheat,Sandy,Complex NPK
29,6.9,13,4,20,Pulses,Sandy,Potash
38,6.6,9,4,64,Pulses,Clayey,Potash
15,7.3,54,53,7,Pulses,Loam,Urea
34,6.5,8,9,89,Rice,Loam,DAP
23,7.2,25,68,24,Wheat,Loam,Complex NPK
22,7.2,33,33,65,Cotton,Clayey,Urea
38,5.9,17,49,99,Wheat,Clayey,Complex NPK
28,7.0,47,74,62,Pulses,Clayey,DAP
32,5.5,16,23,94,Wheat,Loam,DAP
39,6.1,49,57,34,Pulses,Sandy,Potash
35,6.0,62,96,92,Wheat,Clayey,DAP
38,6.5,71,77,98,Rice,Sandy,DAP
15,7.0,94,21,21,Maize,Clayey,Urea
26,5.7,80,92,87,Maize,Clayey,DAP
19,6.5,86,23,17,Wheat,Clayey,SSP
15,7.4,37,5,69,Cotton,Loam,Urea
25,6.0,9,61,3,Wheat,Clayey,Potash
29,6.9,46,2,89,Wheat,Loam,Urea
37,6.7,12,0,21,Maize,Clayey,Urea
35,5.5,88,9,59,Wheat,Clayey,DAP
33,6.5,22,71,6,Wheat,Sandy,Urea
19,6.9,56,29,61,Pulses,Clayey,Complex NPK
37,5.6,78,21,83,Wheat,Clayey,SSP
18,7.3,45,80,22,Pulses,Sandy,Complex NPK
34,6.5,33,78,23,Rice,Clayey,Potash
22,5.6,62,83,85,Cotton,Loam,SSP
23,5.9,4,37,76,Wheat,Clayey,DAP
28,7.4,69,90,22,Pulses,Loam,SSP
20,6.7,76,76,60,Pulses,Clayey,DAP
15,5.7,41,79,10,Wheat,Loam,Urea
23,6.1,12,83,78,Maize,Clayey,DAP
30,6.4,0,18,57,Maize,Sandy,Potash
30,5.5,69,66,41,Wheat,Clayey,Complex NPK
36,6.3,22,16,69,Wheat,Loam,SSP
26,6.5,97,75,39,Maize,Clayey,Complex NPK
19,6.0,49,99,74,Wheat,Clayey,Complex NPK
22,6.7,65,9,61,Wheat,Clayey,Complex NPK
28,7.0,10,73,90,Maize,Loam,Complex NPK
25,6.0,70,30,26,Pulses,Loam,Urea
35,6.7,16,22,83,Rice,Clayey,Potash
29,6.8,71,20,46,Wheat,Clayey,Potash
32,7.4,27,83,16,Maize,Clayey,DAP
34,7.1,38,68,1,Wheat,Sandy,DAP
18,7.2,84,79,83,Wheat,Sandy,DAP
24,6.5,41,33,78,Pulses,Clayey,Potash
33,5.9,82,64,9,Rice,Clayey,Potash
36,7.5,70,15,63,Wheat,Clayey,Potash
17,5.8,38,77,63,Rice,Clayey,DAP
34,6.4,34,9,60,Maize,Sandy,Urea
36,5.6,74,49,35,Maize,Loam,Complex NPK
26,7.4,40,10,99,Cotton,Loam,Potash
38,7.4,40,34,8,Pulses,Loam,Potash
33,6.9,27,39,90,Maize,Clayey,SSP
28,6.2,94,48,56,Wheat,Sandy,Potash
38,6.0,36,44,45,Wheat,Loam,Complex NPK
16,6.0,98,1,77,Maize,Sandy,DAP
21,5.8,59,72,61,Cotton,Clayey,SSP
25,6.6,89,0,89,Pulses,Clayey,Complex NPK
36,5.8,27,11,44,Cotton,Loam,Urea
31,6.1,56,26,52,Rice,Clayey,Complex NPK
31,6.8,58,94,14,Pulses,Loam,Potash
18,7.0,31,42,13,Pulses,Sandy,DAP
32,5.5,48,19,58,Wheat,Clayey,Complex NPK
25,6.4,3,85,6,Pulses,Loam,SSP
24,6.8,64,1,72,Pulses,Loam,Complex NPK
27,7.2,37,60,51,Wheat,Clayey,SSP
28,6.5,39,82,14,Pulses,Sandy,SSP
21,7.4,12,92,28,Cotton,Sandy,Complex NPK
21,6.0,84,62,29,Pulses,Sandy,SSP
22,5.5,75,11,95,Maize,Clayey,DAP
23,6.5,76,49,94,Pulses,Clayey,Potash
28,6.0,91,63,8,Pulses,Sandy,Urea
39,7.1,47,9,66,Rice,Clayey,Complex NPK
22,6.0,57,24,56,Rice,Sandy,SSP
31,6.1,21,68,79,Cotton,Loam,Potash
39,7.1,12,26,56,Rice,Loam,SSP
37,6.9,17,52,56,Cotton,Sandy,Potash
39,6.6,39,54,92,Rice,Clayey,Complex NPK
30,6.9,31,85,98,Rice,Sandy,SSP
23,6.3,29,78,37,Wheat,Clayey,Urea
18,5.5,55,29,42,Cotton,Loam,Urea
21,5.5,65,1,88,Pulses,Loam,Complex NPK
32,6.5,37,78,5,Rice,Clayey,SSP
22,5.7,0,0,14,Cotton,Sandy,Complex NPK
35,5.6,23,15,56,Pulses,Clayey,Potash
17,7.4,13,33,98,Rice,Sandy,Complex NPK
31,7.2,8,32,11,Maize,Sandy,Urea
39,5.8,84,69,16,Pulses,Loam,DAP
33,5.5,53,30,31,Rice,Sandy,SSP
28,7.4,82,47,76,Rice,Loam,DAP
38,6.1,80,58,58,Pulses,Loam,Urea
39,5.9,13,73,59,Cotton,Clayey,DAP
19,6.9,8,7,64,Wheat,Loam,Potash
19,5.7,6,30,61,Rice,Loam,DAP
27,6.0,27,85,98,Cotton,Loam,Complex NPK
32,7.5,37,30,64,Maize,Sandy,Urea
38,6.8,35,41,57,Pulses,Clayey,SSP
37,6.5,40,8,16,Cotton,Sandy,Urea
35,6.3,26,65,4,Cotton,Loam,Complex NPK
16,7.0,94,85,3,Cotton,Sandy,Urea
20,5.8,76,8,5,Wheat,Loam,DAP
38,7.4,57,49,94,Wheat,Clayey,DAP
16,7.2,45,64,50,Maize,Loam,Potash
34,6.7,80,91,42,Rice,Loam,Complex NPK
36,5.6,58,50,84,Wheat,Loam,Complex NPK
38,6.9,23,48,48,Wheat,Sandy,SSP
34,7.3,72,89,45,Wheat,Loam,SSP
37,6.5,80,29,15,Wheat,Loam,SSP
37,6.2,18,71,92,Maize,Loam,Complex NPK
22,5.7,74,26,91,Cotton,Loam,Potash
24,7.0,15,95,55,Pulses,Loam,SSP
32,7.3,88,14,59,Pulses,Loam,DAP
24,5.7,64,19,55,Cotton,Sandy,SSP
37,7.0,3,8,33,Rice,Clayey,SSP
15,5.5,90,39,11,Maize,Clayey,Complex NPK
34,7.4,20,29,91,Maize,Clayey,Urea
39,6.7,47,23,34,Wheat,Clayey,Urea
19,6.6,62,77,88,Cotton,Sandy,DAP
32,6.1,97,40,13,Wheat,Loam,SSP
35,7.4,24,1,7,Pulses,Loam,DAP
36,6.0,82,89,24,Pulses,Sandy,DAP
31,7.2,40,88,65,Cotton,Clayey,SSP
18,7.5,9,30,99,Pulses,Sandy,DAP
25,7.1,72,41,82,Maize,Sandy,DAP
16,6.5,71,80,40,Wheat,Clayey,Potash
35,5.6,92,62,55,Maize,Sandy,DAP
19,6.4,41,75,65,Cotton,Loam,Urea
19,6.4,19,71,27,Cotton,Sandy,Potash
31,5.9,86,85,15,Pulses,Clayey,Complex NPK
31,6.3,67,88,15,Rice,Clayey,SSP
30,6.2,78,37,41,Rice,Clayey,Complex NPK
25,5.8,66,43,77,Cotton,Sandy,SSP
28,6.4,87,59,6,Maize,Clayey,Potash
23,6.0,24,36,96,Wheat,Loam,Complex NPK
26,6.5,84,32,92,Rice,Clayey,Urea
35,5.6,35,73,56,Rice,Loam,DAP
21,7.3,46,16,52,Maize,Sandy,SSP
24,7.1,32,35,6,Cotton,Clayey,Complex NPK
30,6.6,34,3,78,Pulses,Clayey,SSP
18,7.2,42,39,31,Maize,Loam,DAP
34,7.4,92,37,6,Cotton,Sandy,Potash
27,5.7,37,3,33,Wheat,Loam,Potash
33,6.8,82,40,58,Cotton,Sandy,Urea
32,7.5,55,58,46,Pulses,Loam,Urea
25,7.5,35,99,26,Cotton,Loam,Potash
17,6.7,99,1,51,Cotton,Clayey,SSP
16,5.8,65,3,32,Maize,Loam,SSP
26,6.7,93,11,60,Pulses,Sandy,SSP
18,5.5,20,3,46,Pulses,Loam,SSP
27,5.9,99,59,95,Rice,Sandy,DAP
19,7.4,46,12,7,Rice,Loam,Potash
16,6.2,98,96,49,Wheat,Clayey,Complex NPK
32,6.8,91,39,39,Wheat,Loam,Potash
15,6.1,62,50,65,Pulses,Sandy,Urea
22,7.4,62,0,5,Cotton,Sandy,SSP
39,7.0,78,54,27,Rice,Clayey,Potash
19,6.2,30,54,38,Wheat,Sandy,SSP
18,7.1,91,87,45,Pulses,Clayey,SSP
20,5.7,51,71,23,Cotton,Loam,DAP
21,6.3,4,59,12,Maize,Sandy,DAP
18,5.9,68,65,9,Cotton,Clayey,SSP
17,6.9,6,98,29,Rice,Loam,Potash
23,5.7,41,13,29,Cotton,Loam,Complex NPK
16,6.3,3,56,13,Rice,Clayey,DAP
19,6.1,39,30,87,Maize,Clayey,Complex NPK
15,6.5,27,85,24,Cotton,Loam,Complex NPK
39,6.2,13,81,9,Maize,Loam,SSP
28,6.9,44,23,68,Rice,Clayey,DAP
34,5.5,0,35,37,Rice,Clayey,SSP
24,6.8,74,33,56,Rice,Loam,DAP
36,6.0,93,6,75,Pulses,Loam,Urea
20,6.0,78,24,86,Rice,Sandy,Potash
16,7.1,0,34,60,Wheat,Sandy,Urea
22,7.4,0,57,24,Cotton,Clayey,Potash
23,6.1,96,73,52,Pulses,Clayey,Potash
37,7.2,11,24,53,Maize,Loam,Potash
35,5.7,29,93,98,Maize,Loam,DAP
22,6.8,5,5,46,Wheat,Clayey,DAP
18,7.0,69,48,33,Cotton,Clayey,Potash
36,5.8,57,25,13,Wheat,Clayey,Urea
27,6.4,30,68,97,Cotton,Clayey,Complex NPK
18,7.3,18,38,71,Maize,Loam,Potash
21,5.7,16,0,12,Wheat,Sandy,Complex NPK
35,5.5,81,59,73,Maize,Sandy,Urea
22,6.7,75,78,46,Cotton,Clayey,Complex NPK
34,6.4,9,73,29,Wheat,Clayey,DAP
15,7.1,9,50,12,Wheat,Sandy,Urea
20,7.3,90,28,55,Pulses,Loam,DAP
26,6.1,76,15,48,Pulses,Loam,Complex NPK
